,title,original_title,overview,overview_word_count,release_date,release_year,original_language,genres,vote_average,vote_count,popularity
1731,Mad Max 2,Mad Max 2,"Max Rockatansky returns as the heroic loner who drives the dusty roads of a postapocalyptic Australian Outback in an unending search for gasoline. Arrayed against him and the other scraggly defendants of a fuel-depot encampment are the bizarre warriors commanded by the charismatic Lord Humungus, a violent leader whose scruples are as barren as the surrounding landscape.",57,1981-12-24,1981,English,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",7.4,3994,5.2033
1732,The Umbrellas Of Cherbourg,Les Parapluies de Cherbourg,"This simple romantic tragedy begins in 1957. Guy Foucher, a 20-year-old French auto mechanic, has fallen in love with 17-year-old Geneviève Emery, an employee in her widowed mother's chic but financially embattled umbrella shop. On the evening before Guy is to leave for a two-year tour of combat in Algeria, he and Geneviève make love. She becomes pregnant and must choose between waiting for Guy's return or accepting an offer of marriage from a wealthy diamond merchant.",77,1964-02-19,1964,French,"['Drama', 'Romance']",7.387,849,2.6808
1733,Falling Down,Falling Down,An ordinary man frustrated with the various flaws he sees in society begins to psychotically and violently lash out against them.,21,1993-02-26,1993,English,"['Crime', 'Drama', 'Thriller']",7.386,3902,5.5997
1734,Rushmore,Rushmore,"When a beautiful first-grade teacher arrives at a prep school, she soon attracts the attention of an ambitious teenager named Max, who quickly falls in love with her. Max turns to the father of two of his schoolmates for advice on how to woo the teacher. However, the situation soon gets complicated when Max's new friend becomes involved with her, setting the two pals against one another in a war for her attention.",73,1998-12-11,1998,English,"['Comedy', 'Drama']",7.4,2615,4.062
1735,Black Hawk Down,Black Hawk Down,"When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord, their Black Hawk helicopters are shot down, and the Americans suffer heavy casualties, facing intense fighting from the militia on the ground.",40,2001-12-28,2001,English,"['Action', 'War', 'History']",7.386,6092,6.4505
1736,The Wailing,곡성,A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.,35,2016-05-12,2016,Korean,"['Horror', 'Mystery']",7.385,1921,6.4531
1737,Miss You Already,Miss You Already,The friendship between two life-long girlfriends is put to the test when one starts a family and the other falls ill.,21,2015-09-12,2015,English,"['Comedy', 'Drama']",7.385,677,0.9213
1738,Interstate 60,Interstate 60,An aspiring painter meets various characters and learns valuable lessons while traveling across America.,14,2002-04-13,2002,English,"['Adventure', 'Comedy', 'Fantasy', 'Drama']",7.385,738,3.714
1739,The Long Goodbye,The Long Goodbye,"In 1970s Hollywood, Detective Philip Marlowe tries to help a friend who is accused of murdering his wife.",18,1973-03-08,1973,English,"['Mystery', 'Drama', 'Crime']",7.385,717,2.2372
1740,A Dog'S Way Home,A Dog's Way Home,"The adventure of Bella, a dog who embarks on an epic 400-mile journey home after she is separated from her beloved human.",22,2019-01-10,2019,English,"['Drama', 'Adventure', 'Family']",7.4,1159,2.4891
1741,Drunken Master,醉拳,"After getting into trouble, a mischievous young man is sent to train under a brutal, but slovenly old beggar, who teaches him the secret of the Drunken Fist.",28,1978-10-05,1978,Chinese,"['Action', 'Comedy']",7.383,1030,5.853
1742,When The Wind Blows,When the Wind Blows,"With the help of government-issued pamphlets, an elderly British couple build a shelter and prepare for an impending nuclear attack, unaware that times and the nature of war have changed from their romantic memories of World War II.",38,1986-10-24,1986,English,"['Animation', 'War', 'Science Fiction']",7.384,307,1.6719
1743,The Last Of The Mohicans,The Last of the Mohicans,"In war-torn colonial America, in the midst of a bloody battle between British, the French and Native American allies, the aristocratic daughter of a British Colonel and her party are captured by a group of Huron warriors. Fortunately, a group of three Mohican trappers comes to their rescue.",48,1992-08-26,1992,English,"['Action', 'History', 'Romance', 'War']",7.384,3268,6.5463
1744,Legends Of The Fall,Legends of the Fall,"In early 20th-century Montana, Col. William Ludlow lives on a ranch in the wilderness with his sons, Alfred, Tristan, and Samuel. Eventually, the unconventional but close-knit family are bound by loyalty, tested by war, and torn apart by love, as told over the course of several decades in this epic saga.",51,1994-12-23,1994,English,"['Drama', 'Western', 'Romance', 'War', 'Action']",7.384,2740,5.5537
1746,A Time To Kill,A Time to Kill,"A young lawyer defends a black man accused of murdering two white men who raped his 10-year-old daughter, sparking a rebirth of the KKK.",24,1996-07-24,1996,English,"['Crime', 'Drama', 'Thriller']",7.4,2723,5.2429
1747,Braindead,Braindead,"When a Sumatran rat-monkey bites Lionel Cosgrove's mother, she's transformed into a zombie and begins killing (and transforming) the entire town while Lionel races to keep things under control.",29,1992-08-13,1992,English,"['Horror', 'Comedy']",7.384,1763,5.7291
1748,Leviathan,Левиафан,"In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family.",42,2014-09-24,2014,Russian,"['Drama', 'Crime']",7.383,911,4.202
1749,Clerks,Clerks,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.",40,1994-10-19,1994,English,['Comedy'],7.4,2632,4.7585
1750,"Maggie Simpson In ""Playdate With Destiny""","Maggie Simpson in ""Playdate with Destiny""","When Maggie Simpson is rescued by a cute young baby from playground peril, it's girl meets boy, girl loses boy, guess what happens next?",24,2020-02-29,2020,English,"['Animation', 'Comedy', 'Family', 'Romance']",7.382,360,1.3675
1751,The Death Of Superman,The Death of Superman,"When a hulking monster arrives on Earth and begins a mindless rampage, the Justice League is quickly called in to stop it. But it soon becomes apparent that only Superman can stand against the monstrosity.",35,2018-07-24,2018,English,"['Science Fiction', 'Animation', 'Action', 'Drama', 'Fantasy']",7.382,797,2.4989
1752,Rudolph The Red-Nosed Reindeer,Rudolph the Red-Nosed Reindeer,"Sam the snowman tells us the story of a young red-nosed reindeer who, after being ousted from the reindeer games because of his glowing nose, teams up with Hermey, an elf who wants to be a dentist, and Yukon Cornelius, the prospector. They run into the Abominable Snowman and find a whole island of misfit toys. Rudolph vows to see if he can get Santa to help the toys, and he goes back to the North Pole on Christmas Eve. But Santa's sleigh is fogged in. But when Santa looks over Rudolph, he gets a very bright idea...",98,1964-12-06,1964,English,"['Animation', 'Family', 'TV Movie', 'Adventure']",7.4,621,2.0831
1753,The Collini Case,Der Fall Collini,A young lawyer stumbles upon a vast conspiracy while investigating a brutal murder case.,14,2019-04-18,2019,German,"['Drama', 'Thriller']",7.381,417,1.3583
1754,The Conjuring: The Devil Made Me Do It,The Conjuring: The Devil Made Me Do It,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",55,2021-05-25,2021,English,"['Horror', 'Mystery', 'Thriller']",7.381,6321,16.7188
1755,Palm Trees In The Snow,Palmeras en la nieve,"Spain, 2003. An accidental discovery leads Clarence to travel from the snowy mountains of Huesca to Equatorial Guinea, to visit the land where her father Jacobo and her uncle Kilian spent most of their youth, the island of Fernando Poo.",40,2015-12-25,2015,Spanish,"['Drama', 'History', 'Romance']",7.381,536,3.7022
1756,The Piano,The Piano,"When an arranged marriage brings Ada and her spirited daughter to the wilderness of nineteenth-century New Zealand, she finds herself locked in a battle of wills with both her controlling husband and a rugged frontiersman to whom she develops a forbidden attraction.",42,1993-05-18,1993,English,"['Drama', 'Romance']",7.381,1587,5.444
1757,Interview With The Vampire,Interview with the Vampire,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",18,1994-11-11,1994,English,"['Horror', 'Drama', 'Fantasy']",7.381,6166,6.6263
1758,Migration,Migration,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",34,2023-12-06,2023,English,"['Family', 'Comedy', 'Adventure', 'Animation']",7.38,2123,10.9458
1759,Patema Inverted,サカサマのパテマ,"A young girl, from a civilization that resides in deep underground tunnels, finds herself trapped in an inverted world and teams up with a resident to escape and return home.",30,2013-11-09,2013,Japanese,"['Animation', 'Science Fiction', 'Adventure', 'Drama']",7.38,438,4.5867
1761,The Fighter,The Fighter,"Boxer ""Irish"" Micky Ward's unlikely road to the world light welterweight title. His Rocky-like rise was shepherded by half-brother Dicky, a boxer-turned-trainer who rebounded in life after nearly being KO'd by drugs and crime.",34,2010-12-10,2010,English,['Drama'],7.379,4543,2.8823
1762,Only Yesterday,おもひでぽろぽろ,"In lyrical switches between the present and the past, Taeko contemplates the arc of her life, and wonders if she has been true to the dreams of her childhood self.",30,1991-07-20,1991,Japanese,"['Animation', 'Drama', 'Romance']",7.379,1184,5.8068
1763,The Hunt For Red October,The Hunt for Red October,"A new technologically-superior Soviet nuclear sub, the Red October, is heading for the U.S. coast under the command of Captain Marko Ramius. The American government thinks Ramius is planning to attack. Lone CIA analyst Jack Ryan has a different idea: he thinks Ramius is planning to defect, but he has only a few hours to find him and prove it - because the entire Russian naval and air commands are trying to find Ramius, too. The hunt is on!",79,1990-03-02,1990,English,"['Action', 'Adventure', 'Thriller']",7.4,3475,4.3624
